user,created_at,latitude,longitude,text
thedope_kidd,Wed Mar 15 12:40:38 +0000 2017,,,'@braxeatssnacks @Ljbradford24 @awatkinsgoodman #columbia #elitism #headassery https://t.co/HoqBPCDrV2'
mariagallucci,Wed Mar 15 12:39:05 +0000 2017,,,'Just scaling some glaciers en route to #Women4Climate conference at Columbia https://t.co/YkcEPJtRfo'
VCerulloNYC,Wed Mar 15 12:38:57 +0000 2017,40.807767,-73.96288905,"'#women4climate kicking off! (at @Columbia University in New York, NY w/ @ja_cone) https://t.co/BbcQkoyf4D'"
Jay_Hoffa_Flee,Wed Mar 15 12:31:30 +0000 2017,,,'NYU work flow regular'
SoffiaAlarcon,Wed Mar 15 12:05:07 +0000 2017,,,'@CarbonTrust_Mex in @Columbia @c40cities #womenforclimate #almamater @thecarbontrust https://t.co/DggJLXU4gY'
Charlie2749,Wed Mar 15 10:59:44 +0000 2017,,,'THIS 🐷💩NYU Is Full Of 🤡's https://t.co/ths9u1Q1LV'
LANYSHEAVEN,Wed Mar 15 06:32:42 +0000 2017,,,'this is the test to see if you can attend NYU Tandon @endlessflights confirm this pls https://t.co/oRMxa8txHY'
jlquiroz,Wed Mar 15 05:39:21 +0000 2017,40.73651866,-73.99091894,'😘 #NYU #LLMs #classof2017 #SpringFling #PhotoBooth @ Union Square Ballroom https://t.co/o3n0JVIUHG'
mischaarmada,Wed Mar 15 04:26:36 +0000 2017,40.74228461,-73.97437393,"'I'm at NYU Langone Medical Center - @nyuniversity in New York, NY https://t.co/NNNR7dtlie'"
pilarlait,Wed Mar 15 03:57:05 +0000 2017,,,"'@Harry_Styles also this is a great time to visit Columbia's campus, there's no one here. Pls harry I love you so much'"
pilarlait,Wed Mar 15 03:50:40 +0000 2017,,,'@Harry_Styles I'm one of the only people at Columbia during this cold spring break. Let me meet you please I have loved you for so long.'
Xsanthemum,Wed Mar 15 02:00:05 +0000 2017,40.76470914,-73.98995184,"'(#background #azul, #foreground #alba [#white: #bruce #nyu #retribution #cooperUnion #cantrell… https://t.co/gYU9jGZgEz'"
StephWilchfort,Wed Mar 15 01:44:00 +0000 2017,,,"'@MoserJoelmoser Love hearing; @BrooklynKids still 1st museum for many. As @ColumbiaSIPA @Columbia_Biz alum, especially pleased w/ ur piece.'"
jsheelmusic,Wed Mar 15 01:36:49 +0000 2017,40.7293724,-73.995937,'2017 IMPACT Conference (NYU)   https://t.co/Hbp03BdWGe'
sania_nyu,Wed Mar 15 01:02:14 +0000 2017,40.717222,-73.989722,'A bird's-eye view shot allows to setup the perspective of an outsider... #filmmakingtricks… https://t.co/TRaSmOdiE8'
_casorriso,Tue Mar 14 19:52:16 +0000 2017,40.7636642,-73.9824753,"'Flagra: encontramos B saindo da biblioteca da Columbia University,… https://t.co/sYmtOUSvTn'"
ParvisRasulov,Tue Mar 14 19:46:11 +0000 2017,,,'Kids Enjoy Snow Day at Washington  Square Park #NYU #live #kids  @weatherchannel  #PeopleOfNewYork #creative #snow… https://t.co/T9NBoiKXsz'
AshleiNeill,Tue Mar 14 19:33:52 +0000 2017,,,'Campus tour at Columbia University (pre-blizzard!). Just WOW on so many levels. https://t.co/UggX7qunuX'
ParvisRasulov,Tue Mar 14 19:24:58 +0000 2017,,,'Squirrel search food at SnowDay WashingtonSquarePark #NYU #live @weatherchannel  #PeopleOfNewYork #creative #snow… https://t.co/jVHRViOeZG'
ParvisRasulov,Tue Mar 14 19:20:07 +0000 2017,,,'Kids Enjoy Snow Day at Washington  Square Park #NYU #live #kids  @weatherchannel  #PeopleOfNewYork #creative #snow… https://t.co/PgZZcbb5za'
vicenayala,Tue Mar 14 18:33:41 +0000 2017,40.80776,-73.96544,"'My last #basketball game 🏀
#Columbia 🆚 #Princeton
#NewYorkCity #ColumbiaUniversity… https://t.co/5Vc4Bo6IfV'"
artsiegel,Tue Mar 14 18:21:15 +0000 2017,,,'@AKStanger intolerance of conservatives on campus long predates Trump including at my alma mater Columbia'
